fname,label,class
purdue_P2_unloaded_up_down.wav,purdue_P2_unloaded_up_down,Unloaded
WSU_P2_DOWN_UNLOADED.wav,WSU_P2_DOWN_UNLOADED,Unloaded
WSU_P2_UNLOADED_BACK_AND_FORTH.wav,WSU_P2_UNLOADED_BACK_AND_FORTH,Unloaded
WSU_P2_UNLOADED_UP_AND_DOWN.wav,WSU_P2_UNLOADED_UP_AND_DOWN,Unloaded
6 Axis Gyro unloaded 1.wav,6 Axis Gyro unloaded 1,Unloaded
6 Axis Gyro unloaded 2.wav,6 Axis Gyro unloaded 2,Unloaded
6 Axis Gyro unloaded 3.wav,6 Axis Gyro unloaded 3,Unloaded
6 Axis Gyro unloaded 4.wav,6 Axis Gyro unloaded 4,Unloaded
Syma X20 unloaded 1.wav,Syma X20 unloaded 1,Unloaded
Syma X20 unloaded 2.wav,Syma X20 unloaded 2,Unloaded
Syma X20 unloaded 3.wav,Syma X20 unloaded 3,Unloaded
Syma X20 unloaded 4.wav,Syma X20 unloaded 4,Unloaded
Syma X20 unloaded 5.wav,Syma X20 unloaded 5,Unloaded
Syma X5 unloaded 1.wav,Syma X5 unloaded 1,Unloaded
Syma X5 unloaded 2.wav,Syma X5 unloaded 2,Unloaded
Syma X5 unloaded 3.wav,Syma X5 unloaded 3,Unloaded
Syma X5 unloaded 4.wav,Syma X5 unloaded 4,Unloaded
Syma X5 unloaded 5.wav,Syma X5 unloaded 5,Unloaded
Tarantula X6 unloaded 1.wav,Tarantula X6 unloaded 1,Unloaded
Tarantula X6 unloaded 2.wav,Tarantula X6 unloaded 2,Unloaded
Tarantula X6 unloaded 3.wav,Tarantula X6 unloaded 3,Unloaded
Tarantula X6 unloaded 4.wav,Tarantula X6 unloaded 4,Unloaded
Tarantula X6 unloaded 5.wav,Tarantula X6 unloaded 5,Unloaded
Tarantula X6 unloaded 6.wav,Tarantula X6 unloaded 6,Unloaded
Tarantula X6 unloaded 7.wav,Tarantula X6 unloaded 7,Unloaded
Tarantula X6 unloaded 8.wav,Tarantula X6 unloaded 8,Unloaded
unloaded.wav,unloaded,Unloaded
unloaded1.wav,unloaded1,Unloaded
unloaded2.wav,unloaded2,Unloaded
unloaded4.wav,unloaded4,Unloaded
WSU_P2_HIGH_LOADED_DOWN.wav,WSU_P2_HIGH_LOADED_DOWN,Loaded
WSU_P2_LOADED_BACK_AND_FORTH.wav,WSU_P2_LOADED_BACK_AND_FORTH,Loaded
WSU_P2_LOADED_BACK_AND_FORTH_2.wav,WSU_P2_LOADED_BACK_AND_FORTH_2,Loaded
WSU_P2_LOADED_up_and_down.wav,WSU_P2_LOADED_up_and_down,Loaded
loaded.wav,loaded,Loaded
loaded1.wav,loaded1,Loaded
loaded3.wav,loaded3,Loaded
Syma loaded 1.wav,Syma loaded 1,Loaded
Syma loaded 2.wav,Syma loaded 2,Loaded
Syma loaded 3.wav,Syma loaded 3,Loaded
Syma loaded 4.wav,Syma loaded 4,Loaded
Syma loaded 5.wav,Syma loaded 5,Loaded
Syma loaded6.wav,Syma loaded6,Loaded
